1,ぺー,ぺー,ぺー,,,2017-07-17 17:55:08,2017-07-17 17:55:08
49,サッカーボーイ,典型的な男社会の職場でパワハラが横行しています。特に若い女性社員は目の敵にされることが多く、涙を流すこともしょっちゅうです。上司の八つ当たりがこちらに来るかもと思うと、止めるように指摘することもできません。,社内に苦情を聞いてもらえる部署または投書箱の様なものを設置して欲しいです。下の者は直接上司には言いづらいので会社の責任で設置すべきです。,,,2017-07-21 09:00:38,2017-07-21 09:00:38
50,tisora,事務所の中で冷房の効き具合が、強い所と弱い所でかなり差があり、暑がりの人と寒がりの人がいて苦情が出ている。,音の弱い風鈴など風の障害物を設置して、空気を分散させる。また天井付近に弱い風が出るファンを設置して、全体に風が当たるようにする。,,,2017-07-21 09:02:00,2017-07-21 09:02:00
51,エンジョイライフ,会社の仲間を大切に思うこと。困っている人を助ける。会社内で悪口、文句を言わない。笑顔を忘れず元気よく挨拶,あいさつを笑顔ですることで会社が明るくなると思います。みんなで明るく助け合い仕事を楽しく出来る環境。,,,2017-07-21 09:13:30,2017-07-21 09:13:30
52,reicakanato,役職に応じた仕事の割り振りができていないことです。特に上の職位の人が、かなり細かい仕事をしていることが多いです。,新しく入ってきた人に対して、細かい仕事をきちんと指導し、やってもらえるようにすることです。新しい人が入ってきたら、どんな細かい仕事でもオリエンテーションの時間を設けて、少しずつ権限委譲ができるようにしなければいけません。,,,2017-07-21 09:14:13,2017-07-21 09:14:13
53,ppde,"意見や考えを上の者に伝えられない、伝わらない、伝えてもその場で終わってしまう環境。
上のものより先に上がることの嫌な空気感。","重々しい空気の会議は辞めて気軽にディスカッションする場を設けるべきだ。例えば、明るいアットホームな会議室を作るなど。そして下の者の意見や考えを受け入れ共に考えて行ける上司を教育して行くべき。
定時で帰るのは普通、有給とるのは当たり前の社風を作る為に若い人の意見、考えを取り入れて行くべき。
予定よりも短時間、短期間で仕事を成し遂げたらプラスの報酬を渡すもしくは評価をあげる。逆に必要以上の残業は罰金など",,,2017-07-21 09:15:16,2017-07-21 09:15:16
54,yufla,忙しさにかまけてしっかり教えられていないし、しっかりしたマニュアルもなく、聞きづらい環境になっている。,"新人でも見やすいマニュアル作りが必要だし、人が足りないから人員を募集する訳だけど、新人に同じ仕事量が無理なのは当たり前で育てる環境が必要なので、新人が育つまで教育係かその分働ける人を慣れている人を入れて、徹底的に教えて出来るようになってから同じように業務をするようにする。
じゃないと育つ前に辞めてしまい、負の連鎖が止まらない。",,,2017-07-21 09:21:55,2017-07-21 09:21:55
55,nnnyanto,ミスしたことに対して改善の方法を探るのではなく、ミスした人をただ責めるだけになっていることが最も問題です。,ヒューマンエラーに関する研修を行い、「ミスは誰でもすること」、「責めるのではなく次にどうするかを考えることが重要であること」を周知する。,,,2017-07-21 09:26:50,2017-07-21 09:26:50
56,アイデアシーエス,比較的、全体としては有給とりやすい会社ですが人がギリギリしか出社していなくて（シフト製）特に子育てしてる人は突発的に（子供の風邪などで仕方なくても）休みをとりずらいこと。,大幅増員するか、できないのであれば1日あたりの希望休とれる人数を減らし1日あたりに休める人数を減らし予備として出勤する人を増やす。,,,2017-07-21 09:30:31,2017-07-21 09:30:31
57,Toku.,休憩時間がしっかりと確保されていないのに9時間拘束され、給料は休憩時間分を差し引かれていること。そして、パートは希望で勤務日を選べるのに正社員はほとんど無理なのに時給は同じと、優遇度が違うこと。,"監査に入ってもらいしっかりと指導してもらうこと。
国は介護職の給与形態等を見直すべきで、予算がないなら個人の資産に応じた負担にするべき。
1度倒産した方がいいのかもしれない。
",,,2017-07-21 09:43:28,2017-07-21 09:43:28
58,山田りん子,職員同士での声かけが少ない。返事がない場合があり、うやむやになってしまう時がる。職場の雰囲気が悪い。,声かけかけ、返事をしっかりやる。依頼するとき、頼まれたときお互いの顔をみて行うようにする。声が出れば活気も出て、職員同士の信頼関係も生まれる。,,,2017-07-21 09:48:14,2017-07-21 09:48:14
59,siosio722 ,"おしゃべりな中年女性が多いです。
お局様もその中にいるので、正社員の若い子達が注意をしたくても出来ません。
職場の人の悪口を言っているときもあり、たまに空気が重くなります。","責任者から無駄話をしないようお局様たちに注意をすること。
そして、仕事仲間なのだから人の悪口を言わないことを約束させること。
それでも改善しなければ、本社に連絡して偉い人から直接注意をしてもらうように頼んでみる。",,,2017-07-21 10:12:44,2017-07-21 10:12:44
60,4807fine,多くの職場の問題点は、時間がないといった理由で、上司や経営層が何でもやってしまい、部下が委縮して、怒られないように言われたことしかできなくなり、結果として職場に自由闊達な雰囲気ができない。,経営層や大きな組織の部門長などが、社員に業務オーダをきちんと伝え、その社員のやることに対して一切口を出さないこと。,,,2017-07-21 10:29:09,2017-07-21 10:29:09
61,churikiche429,"1人体制の職場なので手軽に相談や気分転換できる手段がない！
また、体調を崩してしまうと仕事が止まり負担が増える！
給料が安い","人員増加し情報共有や相談できる環境にする事でストレス軽減につながりモチベーションを維持できると思います。
また、お互いが協力できる体制だとスキルアップにもつながり、それが人材育成や職場力の底上げにもつながるし、そうなれば給料も上がると思います。",,,2017-07-21 10:41:20,2017-07-21 10:41:20
62,LC_ENG,時間外労働が当たり前となっている。また、上司がそれを当たり前と感じている事。時間外労働に対する対価がない。,まずは、ネットワークの強制遮断を行う。就業後のモバイル機器の外部持ち出し（自宅など）への禁止をする。モバイル機器は特定の場所でのみ充電が可能にして、そこに置かないと会社から出る事ができないようにする。持ち出す場合は、上司承認及び残業時間がつくようにしてコストがかかる事を認識することにより効率化につながると思います。,,,2017-07-21 11:38:32,2017-07-21 11:38:32
63,知魚楽,何を何時までに完了するのか、といった全体の目標や、今後数カ月でどの程度の仕事をこなすのか、といったスケジュールがわからないまま残業などを繰り返していること。,幹部レベルの施策や目標、スケジュールを末端の社員までいつでも閲覧できるようにしておくと良いかと思います。,,,2017-07-21 11:46:50,2017-07-21 11:46:50
64,kao17,求人と実際入社して貰える給料が違うことに問題があります。求人自体もそこまでよくはないのに、実際違っているので、離職率も多くなっており、出入りが激しい状況です。,求人自体を見直し、それに見合った給料を支払う必要があると思います。よく見せようとするのもありですが、離職する人もいることを考えて作成し直すべきです。,,,2017-07-21 12:34:33,2017-07-21 12:34:33
65,isaoh2,運送倉庫で朝の仕分けのバイトをしていますが、当日積載する荷物の個数が何個か分からない中で仕分けをするので、時として乗り切らないおそれも出てくる。,"・当日の各コースの積載予定量を前日中に知らせる
・積載量の上限を設定し、受付時にコース設定量が上限に達したと判断した時点でそのコースの受付を終了する",,,2017-07-21 14:42:17,2017-07-21 14:42:17
66,makoto1224i,基本的にトップダウンの指示が多く、ボトムアップによる意見がなかなか集まらない。１つの課題に対して何も考えていないのか、それとも考えることができないのかという点がわからず、とても困っている。,何も考えていないという場合でも、考えることができないという点でも、そのような機会を与えていないことが問題であると思う。だから１人１人に役割を与えて責任をもって対処してもらうようにすることが大事だと思う。また、様々なアイデアのヒントになるように読んでみて参考になった本であったり、面白いホームページなどを紹介して感想を書いてもらうようにするといいと思う。,,,2017-07-21 14:44:25,2017-07-21 14:44:25
67,ゴルフ37,"社長が従業員のことを人として認識していない。
奴隷だと思っているし、有給休暇もない。
健康診断もないし、福利厚生も一切ない。","自分が退職する時に、労働基準監督署に申し入れをしようと思っています。
罰金はとられないとしても、今いる人達に対して正されると思います。",,,2017-07-21 15:12:34,2017-07-21 15:12:34
68,yamato_cw,作業の効率が悪く１つ１つの仕事に無駄な時間がかかって残業や休日出勤が多くなる傾向があるように思います。,作業員が積極的にアイデアを出し合って作業法をマニュアル化し作業効率を無駄なく上げていくのが理想的だと思います。,,,2017-07-21 16:26:21,2017-07-21 16:26:21
69,miho835,夜遅くまで残業して、翌朝遅刻者が多発してしまっていること。残業すれば朝多少遅刻しても良いという考えが多く、残業する人が評価されていること。,遅刻者は残業禁止。強制定時退社とする。評価においては、成果と残業時間を数値化し、残業時間が少なく成果をあげている人を評価するようなシステムを作る。そのため、個人単位で細かな業務スキル管理を行う。,,,2017-07-21 16:26:28,2017-07-21 16:26:28
70,ks5982,"職場では２０代前半から５０代前半までの世代が、上司部下の関係でなく同等の立場で、業務を行っています。
世代間の溝があり、２０代の若い人は、５０代の社員に自分から声をかけて、仕事の相談をするようなことはありません。
多分遠慮があるのだと思います。５０代の人は２０代の考えていることが全く分からないと言って、コミュニケーションを積極的にとろうとしません。これでは、同じ目標をもって成果を上げるという組織の基本が成り立ちません。",グループのメンバーで、あえて異なった世代の二人でいくつかのペアをつくり、仕事の成果とペアのコミュニケーションの相関性のデータをとってみる。ペアは定期的に組みなおすことで色々な世代間で、お互いの考え方を学ぶことができるようにする。,,,2017-07-21 16:36:15,2017-07-21 16:36:15
71,msue1,隣同士の人でもあまり会話がない。みんな個人で仕事をしているようでみんなで一緒にいるかんじではありません。,積極的に話をするためには、まず、社内メールを失くして、直接、相手と話して伝える習慣にしたら良いと思います。,,,2017-07-21 17:09:48,2017-07-21 17:09:48
72,fnaho07,結婚して子供のいる女性でも全国転勤があること、女性の勤続年数を増やしたいといっている割には新婚でいきなり地方に飛ばすなど表向きとは裏腹になっている現状がある。,結婚後は多少の配慮があってもいいと思う。全国展開のある会社だがもっと時間給やフレックスタイムの導入を検討して欲しい。,,,2017-07-21 17:22:21,2017-07-21 17:22:21
73,小堀健一郎,同僚のうち2人が毎日のようにアメリカ本社チームに対する不満やほかの人への不満を話して、やる気がそがれる,席をもっと遠くにするか、ITの個室を出たい。もっと多くの従業員がいる同じ空間にいれば、延々と愚痴を言わなくなると思う,,,2017-07-21 18:47:30,2017-07-21 18:47:30
74,tomoyukiyamamoto,私は会社員(私の仕事は非常勤教員)ではありません。客観的に一般論を述べさせていただくと外部からみて、会社の問題点として意識されるのは内部分裂ではないでしょうか。外部からみると印象が悪くなるような気がします。,　会社内の人材活用が大事だと思います。効率よくその「妙」(要点)を把握することではないでしょうか。会社の効率的な組織運用のためには人材の適材適所の配置が必要で、もちろん資金(運用)や時代に応じたニーズへの対応、社史編纂(会社の伝統づくり。人をしたがわせるための業績の権威化)などたくさんの安定運営のための要素があるので難しい問題だと思います。会社や会社員の気持ちがわかっていないといわれることを承知で「外野」から「意見」させていただきたいと思います。,,,2017-07-21 21:37:53,2017-07-21 21:37:53
75,a5k18m24lhlife,女性が大半を占める職場なので、陰口や盛って問題を大きくすること。それにより、職員間の仲が悪くなり、誰かが辞めると言い出して上司に無駄な労力を使わせること。,上司か職場全体で懇親会等を開催し、そこでチーム戦を設けて協力することの大切さに気付かせる。上司と部下の信頼関係を築く。,,,2017-07-21 21:48:17,2017-07-21 21:48:17
